Metadata,DoomedEagle_2025-11-20_03-46-02,Fullchord_2025-11-20_03-46-29,Skunkworks23_2025-11-20_03-46-29,kaine__2025-11-20_03-46-02,BrainRot_2025-11-20_03-47-50,Twiggzy_2025-11-20_03-47-50,snow_Man_2025-11-20_03-51-45,Rikkitt_2025-11-20_03-51-45,romestamo_2025-11-20_03-59-22,radeone_2025-11-20_04-01-56,A_Magikarp_2025-11-20_04-04-17,KAustinn_2025-11-20_04-01-56
Build 57,Wind Turbine (290.0s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (420.5s),Wind Turbine (227.7s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (213.8s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
Build 58,Wind Turbine (290.0s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (420.5s),Wind Turbine (227.7s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (214.0s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
Build 59,Wind Turbine (290.0s),Wind Turbine (258.0s),Wind Turbine (220.3s),Wind Turbine (420.5s),Wind Turbine (227.7s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (214.2s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
Build 60,Wind Turbine (290.0s),Wind Turbine (258.0s),Energy Converter (223.8s),Wind Turbine (420.5s),Wind Turbine (227.7s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (214.5s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
Build 61,Wind Turbine (290.0s),Wind Turbine (258.0s),Construction Turret (228.0s),Wind Turbine (420.5s),Wind Turbine (227.7s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (214.7s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
Build 62,Wind Turbine (290.0s),Construction Turret (261.4s),Wind Turbine (234.0s),Wind Turbine (420.5s),Wind Turbine (227.7s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (214.7s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
Build 63,Wind Turbine (290.0s),Construction Turret (261.4s),Wind Turbine (234.0s),Wind Turbine (420.5s),Wind Turbine (227.7s),Wind Turbine (243.1s),Wind Turbine (239.6s),Mace (214.9s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
Build 64,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Energy Converter (425.2s),Wind Turbine (227.7s),Wind Turbine (244.5s),Wind Turbine (239.6s),Mace (215.1s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Wind Turbine (517.9s)
Build 65,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Energy Converter (425.2s),Wind Turbine (227.7s),Wind Turbine (244.5s),Wind Turbine (239.6s),Mace (215.3s),Tidal Generator (223.5s),Wind Turbine (313.2s),Wind Turbine (281.4s),Energy Converter (524.3s)
Build 66,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Energy Converter (425.2s),Wind Turbine (227.7s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (215.5s),Tidal Generator (223.5s),Mace (316.8s),Tidal Generator (305.9s),Energy Converter (524.8s)
